t (s),V (mV)
349.82,10.8481
350.819,10.8364
351.819,10.8257
352.82,10.8143
353.82,10.8032
354.82,10.7925
355.819,10.7819
356.819,10.771
357.819,10.7587
358.819,10.7486
359.82,10.7375
360.819,10.7266
361.819,10.7159
362.82,10.7053
363.82,10.6938
364.819,10.6838
365.819,10.6727
366.819,10.663
367.819,10.6515
368.82,10.6408
369.819,10.6306
370.819,10.62
371.819,10.6091
372.819,10.5979
373.819,10.587
374.819,10.5769
375.819,10.5663
376.818,10.5556
377.819,10.5451
378.818,10.5344
379.818,10.5231
380.818,10.5132
381.818,10.5022
382.818,10.4925
383.819,10.4814
384.818,10.4714
385.818,10.4606
386.818,10.45
387.819,10.4388
388.818,10.4288
389.818,10.4185
390.818,10.4083
391.818,10.3971
392.818,10.387
393.819,10.3766
394.818,10.3664
395.819,10.3557
396.818,10.346
397.819,10.3352
398.818,10.3252
399.818,10.3151
400.818,10.3041
401.818,10.294
402.818,10.2841
403.818,10.2737
404.818,10.2632
405.819,10.2528
406.819,10.2424
407.819,10.2324
408.819,10.2222
409.818,10.2119
410.818,10.2023
411.819,10.1919
412.818,10.1823
413.818,10.1732
414.818,10.1629
415.818,10.1528
416.819,10.1418
417.818,10.1326
418.818,10.1227
419.818,10.1122
420.818,10.1025
421.818,10.0925
422.818,10.0819
423.818,10.0729
424.819,10.0625
425.818,10.0528
426.818,10.0427
427.819,10.032
428.818,10.0224
429.818,10.0115
430.819,10.0016
431.819,9.9915
432.82,9.9812
433.819,9.9712
434.819,9.961
435.819,9.9506
436.819,9.9406
437.819,9.9304
438.819,9.9205
439.819,9.91
440.82,9.8992
441.819,9.8894
442.82,9.8797
443.819,9.8697
444.819,9.86
445.819,9.8498
446.819,9.8402
447.82,9.8298
448.82,9.82
449.819,9.8102
450.819,9.8011
451.819,9.7907
452.819,9.7817
453.819,9.7718
454.819,9.7622
455.82,9.7521
456.82,9.7422
457.82,9.7321
458.82,9.7222
459.819,9.7126
460.819,9.7039
461.819,9.6938
462.819,9.6843
463.819,9.6742
464.82,9.6643
465.819,9.6556
466.819,9.6459
467.819,9.6366
468.819,9.6261
469.819,9.6166
470.82,9.6068
471.82,9.597
472.819,9.5876
473.819,9.5781
474.819,9.5686
475.819,9.5586
476.819,9.5492
477.819,9.5396
478.82,9.5296
479.82,9.5201
480.819,9.5112
481.819,9.5015
482.819,9.4913
483.819,9.4826
484.819,9.4728
485.82,9.4626
486.819,9.4531
487.819,9.444
488.819,9.4345
489.819,9.4256
490.819,9.4158
491.819,9.4064
492.819,9.396
493.82,9.3868
494.819,9.377
495.819,9.3679
496.82,9.3579
497.82,9.3486
498.819,9.3392
499.819,9.3303
500.819,9.3206
501.82,9.3111
502.819,9.3016
503.819,9.2925
504.819,9.2831
505.819,9.274
506.82,9.264
507.82,9.2549
508.82,9.2464
509.819,9.2369
510.819,9.2274
511.819,9.2186
512.819,9.2089
513.82,9.2001
514.82,9.1911
515.82,9.1813
516.82,9.1719
517.82,9.1634
518.819,9.1544
519.819,9.1453
520.819,9.1365
521.819,9.1278
522.819,9.1188
523.819,9.1098
524.819,9.1005
525.819,9.0907
526.82,9.0829
527.819,9.0739
528.819,9.0649
529.82,9.0559
530.819,9.0471
531.819,9.0376
532.82,9.0285
533.819,9.0195
534.82,9.0106
535.82,9.0016
536.82,8.9934
537.819,8.9854
538.819,8.9761
539.82,8.9668
540.819,8.9583
541.819,8.9498
542.819,8.9408
543.819,8.9323
544.82,8.9228
545.819,8.9152
546.819,8.9061
547.819,8.8977
548.819,8.8887
549.819,8.8805
550.82,8.8721
551.819,8.864
552.819,8.8555
553.819,8.847
554.82,8.8382
555.82,8.8295
556.819,8.8206
557.819,8.8119
558.819,8.8026
559.82,8.7946
560.82,8.786
561.819,8.7774
562.82,8.7682
563.819,8.7591
564.819,8.7501
565.82,8.7413
566.819,8.7335
567.819,8.7241
568.819,8.7154
569.819,8.7065
570.819,8.6979
571.82,8.6891
572.82,8.6806
573.819,8.6708
574.819,8.6614
575.819,8.6528
576.82,8.644
577.82,8.6351
578.819,8.6263
579.819,8.6171
580.819,8.6082
581.819,8.5996
582.82,8.5911
583.82,8.5828
584.819,8.574
585.819,8.5655
586.819,8.5571
587.82,8.5483
588.82,8.5405
589.819,8.5262
590.819,8.5176
591.82,8.5106
592.819,8.5034
593.819,8.4953
594.82,8.4864
595.819,8.479
596.819,8.4711
597.82,8.4621
598.819,8.4547
599.82,8.4451
600.819,8.4376
601.82,8.4292
602.819,8.4214
603.819,8.413
604.82,8.4047
605.819,8.3968
606.819,8.3885
607.819,8.3803
608.819,8.3714
609.819,8.3636
610.819,8.355
611.819,8.347
612.82,8.3379
613.819,8.3291
614.819,8.3212
615.819,8.3125
616.82,8.304
617.819,8.2941
618.82,8.2855
619.819,8.277
620.82,8.269
621.819,8.2599
622.82,8.252
623.82,8.2431
624.819,8.2336
625.819,8.226
626.819,8.2174
627.819,8.2095
628.82,8.2016
629.819,8.1929
630.819,8.1847
631.819,8.1761
632.82,8.1674
633.819,8.1596
634.819,8.1518
635.819,8.1438
636.819,8.1354
637.819,8.1279
638.82,8.1197
639.82,8.1124
640.819,8.105
641.819,8.0967
642.819,8.0896
643.819,8.0814
644.819,8.074
645.82,8.0667
646.819,8.0597
647.819,8.0512
648.82,8.0435
649.82,8.0355
650.819,8.0279
651.819,8.02
652.819,8.0119
653.819,8.0038
654.819,7.9949
655.82,7.9871
