Bias,Current,Resistance
3.4615e+00,9.9121e-08,3.4922e+07
3.0770e+00,9.5472e-08,3.2229e+07
2.6923e+00,9.1392e-08,2.9458e+07
2.3077e+00,8.6724e-08,2.6610e+07
1.9230e+00,8.1066e-08,2.3721e+07
1.5385e+00,7.4547e-08,2.0638e+07
1.1538e+00,6.6692e-08,1.7300e+07
7.6925e-01,5.6841e-08,1.3533e+07
3.8450e-01,4.3615e-08,8.8158e+06
0.0000e+00,2.3235e-08,0.0000e+00
